Reported Date,# of individuals vaccinated
2020-12-24,0
2020-12-30,0
2020-12-31,0
2021-01-01,0
2021-01-02,0
2021-01-03,0
2021-01-04,0
2021-01-05,0
2021-01-06,430
2021-01-07,1087
2021-01-08,2027
2021-01-09,2940
2021-01-10,2942
2021-01-11,2942
2021-01-12,3023
2021-01-13,4389
2021-01-14,6647
2021-01-15,8547
2021-01-16,9667
2021-01-17,10857
2021-01-18,10876
2021-01-19,12805
2021-01-20,16181
2021-01-21,20113
2021-01-22,24646
2021-01-23,28954
2021-01-24,31441
2021-01-25,35628
2021-01-26,41643
2021-01-27,48230
2021-01-28,55286
2021-01-29,61679
2021-01-30,67787
2021-01-31,68849
2021-02-01,70293
