Reported Date,Total Individuals Fully Vaccinated,Total Individuals Infected
2020-12-24,0,629
2020-12-30,0,1258
2020-12-31,0,1887
2021-01-01,0,2516
2021-01-02,0,3145
2021-01-03,0,3774
2021-01-04,0,4403
2021-01-05,0,5032
2021-01-06,430,5661
2021-01-07,1087,6290
2021-01-08,2027,6919
2021-01-09,2940,7548
2021-01-10,2942,8178
2021-01-11,2942,8808
2021-01-12,3023,9438
2021-01-13,4389,10068
2021-01-14,6647,10698
2021-01-15,8547,11328
2021-01-16,9667,11958
2021-01-17,10857,12588
2021-01-18,10876,13218
2021-01-19,12805,13848
2021-01-20,16181,14479
2021-01-21,20113,15110
